iter	Logloss
0	0.6536402202
1	0.6161669161
2	0.5857300709
3	0.557389552
4	0.5306858459
5	0.5082353758
6	0.4879167897
7	0.4698111595
8	0.4547847513
9	0.4419170735
10	0.4304871908
11	0.4204121217
12	0.4107632628
13	0.402685853
14	0.3967672425
15	0.3901975592
16	0.3843148466
17	0.3784273679
18	0.3731993289
19	0.3689504214
20	0.3650621474
21	0.3618220107
22	0.3586214523
23	0.3556713017
24	0.3531154643
25	0.3507797781
26	0.3490776697
27	0.3469634428
28	0.3450646259
29	0.3440598483
30	0.3418329529
31	0.3398573227
32	0.3384097591
33	0.3369006182
34	0.3356238523
35	0.33464753
36	0.3337709219
37	0.3325122326
38	0.3312865463
39	0.3303853185
40	0.3292129056
41	0.3281834877
42	0.3270162342
43	0.326208392
44	0.3254605536
45	0.3246957932
46	0.3238511922
47	0.3232950815
48	0.3224231733
49	0.3218871066
50	0.3212766953
51	0.320784836
52	0.3198508525
53	0.3191847695
54	0.3186534776
55	0.3176043697
56	0.3171230133
57	0.3167143018
58	0.3162402888
59	0.3155902325
60	0.3152043958
61	0.3149264021
62	0.3145805806
63	0.314123868
64	0.3138582727
65	0.3135008482
66	0.313026542
67	0.3127007082
68	0.3122201008
69	0.31153067
70	0.3111778122
71	0.31090412
72	0.3106415393
73	0.3102391101
74	0.3099139586
75	0.3095671224
76	0.3093936547
77	0.3091901196
78	0.308889605
79	0.3086080119
80	0.3082274048
81	0.3078642423
82	0.3075321291
83	0.3073592085
84	0.3071669352
85	0.3069930365
86	0.3067884053
87	0.3065191462
88	0.3062836697
89	0.306000586
90	0.305823168
91	0.305689345
92	0.3054849248
93	0.3051319917
94	0.3049207384
95	0.3045975245
96	0.3043907092
97	0.3042145438
98	0.304088873
99	0.3037977667
100	0.3035944286
101	0.3033017728
102	0.3031294991
103	0.3025633883
104	0.3023341514
105	0.3021255458
106	0.3019875864
107	0.3017716659
108	0.3014194153
109	0.3012934371
110	0.3011247619
111	0.3008034935
112	0.3006465233
113	0.3004479819
114	0.3003082951
115	0.3001728027
116	0.3000618832
117	0.2999118438
118	0.2996710343
119	0.2994908483
120	0.2992906181
121	0.2991658782
122	0.2990571205
123	0.2989175997
124	0.2987356677
125	0.2985867533
126	0.2984374345
127	0.2981001132
128	0.2980132211
129	0.2979037929
130	0.2977374022
131	0.2975992333
132	0.2973801232
133	0.2972195233
134	0.2970868798
135	0.2968596708
136	0.2967495307
137	0.2964915211
138	0.2963288011
139	0.2962093843
140	0.2961170144
141	0.2960112318
142	0.2958849656
143	0.2958131633
144	0.2956928187
145	0.2955577915
146	0.2954728575
147	0.295368122
148	0.2952778099
149	0.2951520986
150	0.2950638426
151	0.294958594
152	0.2949160838
153	0.2947757968
154	0.2946720212
155	0.2945857973
156	0.294489331
157	0.2943960669
158	0.2943365184
159	0.2942020417
160	0.2940931302
161	0.2938639023
162	0.2937683069
163	0.293411556
164	0.2931588888
165	0.2931016806
166	0.293000976
167	0.2929376359
168	0.2928718126
169	0.2927865747
170	0.2926790145
171	0.2925732021
172	0.2924239786
173	0.2923308738
174	0.2922354205
175	0.2921538506
176	0.2920843165
177	0.2920266552
178	0.2919791259
179	0.2918657324
180	0.2917582616
181	0.2916325302
182	0.2914916975
183	0.2914014552
184	0.2913665389
185	0.291088919
186	0.2909905866
187	0.2908143238
188	0.2907033179
189	0.290585732
190	0.2904936832
191	0.2902555183
192	0.289952908
193	0.2898888244
194	0.2897999726
195	0.2897414241
196	0.2896361712
197	0.28954441
198	0.2894921416
199	0.2894226528
200	0.2893881739
201	0.2892729877
202	0.2892217383
203	0.2891494431
204	0.2890836641
205	0.2890104666
206	0.28896187
207	0.2888943165
208	0.2887604426
209	0.2886625164
210	0.2884937161
211	0.2884159742
212	0.2883346953
213	0.2882734559
214	0.2881925275
215	0.2880788181
216	0.2880251281
217	0.2879824503
218	0.2878733802
219	0.2877566474
220	0.2876996302
221	0.2876091353
222	0.2875275345
223	0.2874458101
224	0.2873637976
225	0.2872846289
226	0.2872126559
227	0.287149323
228	0.2870958982
229	0.287030817
230	0.2869708908
231	0.2868785493
232	0.2868291324
233	0.2866836662
234	0.2864597614
235	0.2864270423
236	0.2862206471
237	0.2861685301
238	0.2860522107
239	0.2859793505
240	0.2859138656
241	0.2858406744
242	0.2857826132
243	0.2856912721
244	0.2856424593
245	0.285500042
246	0.28540537
247	0.2852750816
248	0.2852020385
249	0.2851522218
250	0.2850854458
251	0.2850272345
252	0.2848622428
253	0.2847320053
254	0.2846770498
255	0.2845607011
256	0.2844627775
257	0.2843581717
258	0.2843150833
259	0.2842491002
260	0.2841395306
261	0.2840449269
262	0.2839725416
263	0.283825295
264	0.2837302187
265	0.2836676372
266	0.2836032351
267	0.2835517262
268	0.2833420702
269	0.2831824026
270	0.2831225075
271	0.2830677614
272	0.2829998204
273	0.2829517799
274	0.2828829194
275	0.2825540716
276	0.2824882004
277	0.2824237817
278	0.2823496084
279	0.2822876713
280	0.282235868
281	0.282159035
282	0.2821068008
283	0.2820526314
284	0.2819818374
285	0.2819043841
286	0.2817933216
287	0.281723027
288	0.2816187038
289	0.2815203707
290	0.2814665699
291	0.2814151161
292	0.2813619469
293	0.2812825789
294	0.2812278681
295	0.281141621
296	0.2810888832
297	0.2810280226
298	0.280987166
299	0.2809219571
300	0.280870779
301	0.2807749025
302	0.2807253472
303	0.2806707748
304	0.2806172905
305	0.2805560516
306	0.2805086084
307	0.2804561031
308	0.2803936519
309	0.2803547544
310	0.2802865261
311	0.2801886557
312	0.2800377868
313	0.2799717216
314	0.2799003327
315	0.2798516966
316	0.2797835785
317	0.2797479444
318	0.2796501625
319	0.2795981315
320	0.2795486121
321	0.2794943517
322	0.2794441916
323	0.2793961933
324	0.2793133074
325	0.2792580842
326	0.279149537
327	0.2790936474
328	0.2790503952
329	0.2789970323
330	0.2789443939
331	0.2788818856
332	0.27881499
333	0.278739679
334	0.278698594
335	0.2786433779
336	0.2785921226
337	0.2785426861
338	0.2785126099
339	0.2784523344
340	0.2783734478
341	0.278239558
342	0.2781695783
343	0.2781191726
344	0.2779397594
345	0.2778868569
346	0.2778383165
347	0.2777756261
348	0.2777494888
349	0.2776881655
350	0.2776246931
351	0.2775738752
352	0.2775098724
353	0.2774607562
354	0.2774336635
355	0.2773557722
356	0.2773014568
357	0.2772476943
358	0.2771790235
359	0.2770367914
360	0.27698058
361	0.2766680663
362	0.2766224438
363	0.2765771361
364	0.2763993505
365	0.2763383867
366	0.2762933053
367	0.2762647239
368	0.2762293691
369	0.2761463242
370	0.2761046382
371	0.276026184
372	0.2759741126
373	0.2759275062
374	0.2758780175
375	0.2758210343
376	0.2758016052
377	0.2756711845
378	0.275616463
379	0.2755711426
380	0.2755111668
381	0.2754597731
382	0.2754179759
383	0.2753903371
384	0.2753445999
385	0.2752617694
386	0.2752214922
387	0.2751858404
388	0.2751616233
389	0.2751201075
390	0.2750080112
391	0.2749545752
392	0.2749136533
393	0.2748764476
394	0.2748195195
395	0.2747661622
396	0.2747130152
397	0.274668049
398	0.2746104548
399	0.2745709494
400	0.2745245513
401	0.2744979677
402	0.2744491893
403	0.2743929159
404	0.2741257774
405	0.2738916733
406	0.2737411791
407	0.2736989867
408	0.2735481719
409	0.2735031209
410	0.2734693104
411	0.2734432407
412	0.2733843153
413	0.2733272031
414	0.2732872822
415	0.2732344211
416	0.2731929418
417	0.2731648561
418	0.2731439708
419	0.2731065112
420	0.2730817488
421	0.2729518491
422	0.2729226559
423	0.2728716678
424	0.2728493601
425	0.2727842936
426	0.2727070425
427	0.2726535338
428	0.272624378
429	0.2725995355
430	0.2725832085
431	0.2725572086
432	0.2725302359
433	0.2724958213
434	0.2724302326
435	0.2723757635
436	0.2723171003
437	0.2722749378
438	0.2722467559
439	0.2720117811
440	0.2719302128
441	0.2719075851
442	0.2718608401
443	0.2717805906
444	0.2717334389
445	0.2716836635
446	0.2716433943
447	0.2715990285
448	0.2715417018
449	0.2715174208
450	0.2714605328
451	0.271415503
452	0.2711980456
453	0.2711114483
454	0.2710856031
455	0.2710483256
456	0.2709960719
457	0.2709381275
458	0.2708993393
459	0.2708788644
460	0.2708360938
461	0.2708020593
462	0.2707539555
463	0.2707347006
464	0.2707076081
465	0.2706847583
466	0.2706458279
467	0.2705994378
468	0.2705434497
469	0.270523585
470	0.2704521769
471	0.2703969055
472	0.2703811368
473	0.2703171669
474	0.2702678746
475	0.2702404156
476	0.2701688934
477	0.2701509415
478	0.2700635448
479	0.2700174531
480	0.2699581912
481	0.2699269042
482	0.2698507958
483	0.269828014
484	0.269798706
485	0.2697638566
486	0.2695693273
487	0.2695472197
488	0.2694997679
489	0.2694701065
490	0.2694068771
491	0.2693877123
492	0.2693411304
493	0.269310749
494	0.2692640447
495	0.2692330044
496	0.2692155265
497	0.2691816348
498	0.2691331043
499	0.2690669245
500	0.269044439
501	0.2690026022
502	0.2689623528
503	0.2689100296
504	0.2688866089
505	0.268864021
506	0.2688227431
507	0.2687773051
508	0.2687281503
509	0.2686983946
510	0.2686425119
511	0.268618248
512	0.2686005696
513	0.2685476903
514	0.2685200819
515	0.2684759263
516	0.2684334331
517	0.268398932
518	0.2682989977
519	0.2682795296
520	0.2682343115
521	0.2681846113
522	0.2680129128
523	0.2679982503
524	0.2679840938
525	0.2679462401
526	0.2679046299
527	0.2678682201
528	0.2678199998
529	0.2677736817
530	0.267708157
531	0.2676741386
532	0.2676162291
533	0.2675974972
534	0.2675184492
535	0.2675035098
536	0.2674555941
537	0.2674081465
538	0.2673496178
539	0.2673072336
540	0.2672758441
541	0.2672452014
542	0.2671955434
543	0.2671574246
544	0.2671304528
545	0.267094139
546	0.2670677244
547	0.2670326753
548	0.2669977555
549	0.2669775545
550	0.2669552834
551	0.2669209583
552	0.2668938535
553	0.2668578507
554	0.2668236434
555	0.2667419507
556	0.2667242217
557	0.2666851166
558	0.2666395397
559	0.2666091295
560	0.2665943425
561	0.2665459243
562	0.266509622
563	0.2664832816
564	0.2664530837
565	0.2664236423
566	0.2663933668
567	0.2663748558
568	0.2663310592
569	0.2662900439
570	0.2662608446
571	0.2662172631
572	0.2661879421
573	0.2661227012
574	0.2660821746
575	0.2660241998
576	0.2659888082
577	0.2659386417
578	0.2659251468
579	0.2659067593
580	0.2658816564
581	0.2658692458
582	0.2658336576
583	0.2657894768
584	0.2657508862
585	0.2657256811
586	0.2657090467
587	0.265664027
588	0.265637638
589	0.2655633457
590	0.2655134552
591	0.2654461039
592	0.2654216743
593	0.2653843045
594	0.2653237839
595	0.2652941214
596	0.2652515985
597	0.2652233876
598	0.2651913659
599	0.2651679107
600	0.2651225451
601	0.2650968274
602	0.2650528215
603	0.2650353689
604	0.2649993215
605	0.2649649202
606	0.2649423963
607	0.264914724
608	0.2648880659
609	0.2648519178
610	0.2648394384
611	0.2647738297
612	0.2647498849
613	0.2646858836
614	0.2646706612
615	0.2646454972
616	0.2646213433
617	0.2646043312
618	0.2645853331
619	0.2645434968
620	0.2645113135
621	0.264481655
622	0.2644592379
623	0.264421561
624	0.2643911233
625	0.2643509232
626	0.2643144707
627	0.264301936
628	0.2642634334
629	0.2642297324
630	0.264219364
631	0.2642113445
632	0.2641707785
633	0.2641408131
634	0.2640765599
635	0.2640605304
636	0.264034844
637	0.2640270189
638	0.2640045213
639	0.2639832966
640	0.2639618494
641	0.2639157842
642	0.2638850318
643	0.2638671211
644	0.2638455919
645	0.2637865402
646	0.2637690597
647	0.2637394164
648	0.2637095909
649	0.2636960005
650	0.2636742794
651	0.2636162154
652	0.2635854605
653	0.2635752336
654	0.2635552519
655	0.2635322815
656	0.2634924586
